ID;Comment_date;Comment;Gender;Rate;Category
88;2020-11-23;…только за нее стоило бы поставить 6 звезд из пяти))). С кухней плотно не знакомились, но хочу отметить, что суп Фо готовить не умеют, хотя стараются)).…;м;5;Еда
89;2022-04-18;Салат не удивил, даже был по количеству ингредиентов за такую цену маловат. Очень очень мало места…;ж;3;Еда
90;2022-08-26;Еды не было - это очень печально. Но коктейли весьма вкусные.;ж;4;Еда
91;2020-07-19;Маленькое , но атмосферное место Цены средние. Поесть не удастся, кухни нет. Бар и бар;ж;4;Еда
92;2021-04-10;…что минимальный заказ от 500 руб., ей пришлось докупать еще напиток. Еды у них никакой нет, сказали, чтобы мы заказывали сами. Очень хамское отношение к клиентам, испортили нам настроение…;м;1;Еда
93;2019-10-08;Бизнес ланчи полное д...о! Вместо супа мутная водичка, бармены днем «готовят» ликеры на вечер из подручных средств, не смущаясь посетителей;м;1;Еда
94;2023-05-28;Забежали быстро перекусить взяли два бургера и картофель Ужасно. …;ж;1;Еда
95;2018-10-05;Не сильно вкусно, не очень обслуживание, заведение просто выпить;м;2;Еда
96;2021-06-21;…Рекомендую заглянуть и что нибудь разноцветное принять 😂☺️ Если алкоголь не подходит, то можно выпить б/а коктейли тоже разноцветные и очень вкусно покушать;ж;5;Еда
97;2024-06-03;"Отличное заведение с вкусными коктейлями и приятной атмосферой. Рекомендую ""Кровавую Алису"" и ""Будьвардье"". Из еды отличный клаб-сэндвич)";м;5;Еда
98;2020-10-31;…стильный интерьер и приятная музыка. Очень приветливый и деликатный персонал (да ещё и симпатяшки парни), большой выбор коктейлей, неплохая еда. Словом…;ж;5;Еда
99;2021-04-25;…ld school - бар с приятными ценами. Большой выбор коктейлей и других напитков. Выбор еды не большой, но готовят очень вкусно. Душевная атмосфера, доброжелательные и общительные бармены.…;м;5;Еда
100;2021-04-20;Уже больше полугода ходим в этот бар с коллегами на бизнес-ланч. Все всегда ооочень вкусно, разное меню на 3 недели, потом повторяется, не успевает надоесть. Приносят еду очень быстро…;ж;5;Еда
101;2021-01-27;Отличное местечко. Бизнес-ланч с 12:00 до 17:00, полный стоил 310 ₽. В среду были: салат из свеклы с грецким орехом, со здоровой без майонезной заправкой…;м;5;Еда
102;2023-09-16;Лучшие шоты в Москве, была бы оценка 100, я бы поставила Друзья приезжают из других городов только в этот бар Еда и напитки вкусные. Место обязательно для посещения.;ж;5;Еда
103;2021-05-03;Хорошая музыка, вкусная еда, отличное расположение. Даже после неприятного инцидента и пищеварением год назад продолжаем ходить. Вкусные сэндвичи, вок…;м;5;Еда
104;2024-07-15;…которые здесь работают и которые это содержат! Мы зашли сюда днём с детьми, поели бургеров, попили лимонада, поняли, что хотим побывать здесь и вечерочком с совершеннолетними друзьями😂…;ж;4;Еда
105;2023-09-30;Офигенный бар) очень вкусная еда. Места немного, но очень атмосферно. Есть акции на алкоголь в стиле 1+1. Реально уютное место, ещё приду;ж;5;Еда
106;2024-08-02;"Коктейли нормальные, но если спросите когда ваши сендвичи будут готовы то вам ответят ""в душе не (плохое слово)"" как и мне. Дружелюбие там вообще нулевое от барменов…";м;1;Коктейли
107;2023-09-16;Лучшие шоты в Москве, была бы оценка 100, я бы поставила Друзья приезжают из других городов только в этот бар Еда и напитки вкусные. Место обязательно для посещения.;ж;5;Коктейли
